"customer_id","total_spend","dense_rank"
5735,"2525","1"
5350,"2525","1"
1763,"2524","2"
4580,"2486","3"
4475,"2440","4"
5453,"2352","5"
10133,"2349","6"
9010,"2346","7"
5386,"2302","8"
6024,"2302","8"
1553,"2283","9"
2147,"2279","10"
2186,"2257","11"
1173,"2252","12"
737,"2231","13"
6248,"2217","14"
3334,"2211","15"
7503,"2209","16"
5236,"2194","17"
477,"2157","18"
7274,"2153","19"
3698,"2130","20"
2747,"2126","21"
8867,"2126","21"
6932,"2119","22"
6421,"2116","23"
5830,"2114","24"
9826,"2114","24"
3403,"2092","25"
7919,"2092","25"
3690,"2091","26"
203,"2089","27"
313,"2088","28"
6072,"2087","29"
7627,"2086","30"
821,"2077","31"
4910,"2074","32"
3010,"2069","33"
4947,"2059","34"
1103,"2053","35"
3139,"2052","36"
697,"2047","37"
1772,"2043","38"
1172,"2034","39"
4597,"2018","40"
2894,"2013","41"
5848,"2009","42"
4248,"2008","43"
7451,"2008","43"
3104,"2006","44"
569,"1991","45"
10619,"1990","46"
9220,"1968","47"
1127,"1958","48"
10949,"1958","48"
6260,"1957","49"
3174,"1957","49"
5536,"1957","49"
2975,"1956","50"
10936,"1947","51"
500,"1941","52"
5955,"1932","53"
3919,"1931","54"
4530,"1930","55"
6036,"1924","56"
4278,"1923","57"
11071,"1923","57"
6977,"1921","58"
8362,"1919","59"
4543,"1919","59"
5547,"1919","59"
1065,"1918","60"
2611,"1910","61"
9743,"1910","61"
8164,"1908","62"
3711,"1902","63"
7962,"1901","64"
10909,"1899","65"
4702,"1895","66"
1544,"1893","67"
1859,"1890","68"
2002,"1870","69"
5331,"1869","70"
9058,"1867","71"
3910,"1862","72"
5538,"1862","72"
1150,"1853","73"
4856,"1853","73"
8722,"1853","73"
8717,"1835","74"
5031,"1833","75"
1204,"1829","76"
3074,"1828","77"
2223,"1826","78"
4299,"1825","79"
6292,"1822","80"
7431,"1820","81"
11088,"1816","82"
5831,"1815","83"
590,"1812","84"
9493,"1808","85"
380,"1804","86"
6049,"1804","86"
9298,"1798","87"
1990,"1797","88"
1340,"1795","89"
2781,"1792","90"
8545,"1789","91"
6565,"1782","92"
7233,"1782","92"
3979,"1779","93"
10489,"1778","94"
8314,"1772","95"
3009,"1766","96"
8931,"1761","97"
3667,"1757","98"
1891,"1754","99"
460,"1753","100"
1665,"1750","101"
7999,"1743","102"
8318,"1738","103"
1577,"1736","104"
4994,"1735","105"
6203,"1734","106"
5376,"1730","107"
4931,"1730","107"
4943,"1727","108"
10140,"1727","108"
1592,"1724","109"
4611,"1724","109"
6749,"1722","110"
9242,"1722","110"
10965,"1722","110"
1501,"1717","111"
8278,"1711","112"
9260,"1706","113"
5113,"1702","114"
5667,"1701","115"
4676,"1695","116"
4114,"1693","117"
10164,"1691","118"
9121,"1690","119"
2176,"1690","119"
3725,"1688","120"
4686,"1686","121"
5558,"1685","122"
2612,"1682","123"
7899,"1680","124"
8720,"1679","125"
9212,"1678","126"
7875,"1677","127"
4789,"1677","127"
3138,"1676","128"
9560,"1674","129"
7789,"1672","130"
1966,"1672","130"
6184,"1670","131"
5628,"1665","132"
8643,"1662","133"
531,"1662","133"
830,"1658","134"
9451,"1658","134"
3262,"1655","135"
2532,"1651","136"
3005,"1650","137"
4637,"1650","137"
4418,"1644","138"
1650,"1643","139"
9264,"1638","140"
5046,"1638","140"
2379,"1635","141"
5687,"1633","142"
4687,"1633","142"
2939,"1631","143"
2088,"1631","143"
9757,"1631","143"
9529,"1627","144"
10469,"1623","145"
8029,"1621","146"
2225,"1617","147"
5524,"1617","147"
9499,"1616","148"
7441,"1615","149"
6274,"1615","149"
6543,"1612","150"
2437,"1611","151"
8475,"1608","152"
1964,"1603","153"
9938,"1600","154"
10955,"1600","154"
3428,"1598","155"
4500,"1598","155"
7396,"1597","156"
3426,"1596","157"
5341,"1588","158"
1619,"1588","158"
8923,"1587","159"
10727,"1586","160"
5299,"1586","160"
6982,"1581","161"
3749,"1580","162"
5989,"1576","163"
3507,"1575","164"
241,"1574","165"
4356,"1574","165"
9595,"1574","165"
7521,"1574","165"
3560,"1574","165"
6262,"1573","166"
1215,"1572","167"
3179,"1572","167"
5721,"1566","168"
7313,"1565","169"
5250,"1564","170"
6417,"1564","170"
9209,"1564","170"
1357,"1562","171"
9064,"1555","172"
2407,"1555","172"
2109,"1544","173"
217,"1540","174"
8427,"1540","174"
10172,"1538","175"
6729,"1538","175"
9606,"1536","176"
9029,"1536","176"
3389,"1533","177"
8932,"1531","178"
4127,"1529","179"
5153,"1529","179"
7118,"1528","180"
3483,"1526","181"
7832,"1526","181"
10736,"1525","182"
6343,"1518","183"
1399,"1515","184"
6050,"1513","185"
1139,"1512","186"
10479,"1511","187"
8395,"1511","187"
6320,"1508","188"
1915,"1507","189"
6246,"1507","189"
10092,"1504","190"
10513,"1502","191"
4394,"1501","192"
6303,"1497","193"
6974,"1497","193"
