"customer_id","recency","frequency","monetary"
0,66,6,1198
1,0,6,577
9,86,6,120
13,57,6,32
17,81,6,1028
20,91,6,183
22,99,6,309
24,96,6,47
25,9,6,1115
35,35,6,210
48,97,6,184
49,39,6,25
55,83,6,597
67,6,6,92
73,81,6,18
75,32,6,467
78,51,6,37
87,16,6,57
89,49,6,69
92,12,6,89
113,33,6,28
115,0,6,393
123,92,6,993
125,65,6,271
143,73,6,957
146,78,6,1323
153,29,6,46
158,3,6,1196
164,59,6,269
175,93,6,1443
176,73,6,331
178,40,6,973
182,62,6,397
193,81,6,16
194,55,6,41
195,21,6,246
199,33,6,315
202,54,6,1234
203,47,6,2089
213,98,6,48
217,78,6,1540
221,90,6,242
231,86,6,32
232,8,6,530
234,60,6,31
236,62,6,170
238,76,6,1082
241,57,6,1574
246,71,6,312
247,16,6,357
252,11,6,601
254,4,6,473
255,31,6,21
257,74,6,1215
263,9,6,145
269,71,6,1143
271,30,6,258
273,48,6,151
274,75,6,34
286,48,6,152
291,13,6,981
295,77,6,1157
304,67,6,76
309,48,6,1101
310,81,6,573
313,98,6,2088
322,93,6,41
326,38,6,315
332,56,6,275
339,82,6,496
340,1,6,497
347,30,6,377
359,33,6,504
361,84,6,20
367,74,6,577
368,61,6,290
375,79,6,1156
378,68,6,794
380,17,6,1804
387,59,6,61
405,68,6,441
425,66,6,727
433,42,6,632
437,41,6,1027
448,57,6,795
450,90,6,270
451,91,6,22
453,1,6,45
454,48,6,1135
455,86,6,209
456,96,6,36
460,72,6,1753
466,9,6,746
477,31,6,2157
486,27,6,1198
492,3,6,424
498,28,6,57
500,79,6,1941
503,88,6,53
520,81,6,30
521,42,6,581
523,51,6,74
524,47,6,96
528,99,6,1383
531,55,6,1662
535,18,6,778
538,78,6,125
544,51,6,976
550,87,6,708
564,81,6,906
569,32,6,1991
574,96,6,125
577,10,6,22
590,35,6,1812
591,76,6,677
606,87,6,15
607,31,6,521
610,60,6,480
615,29,6,343
618,17,6,797
624,5,6,35
626,28,6,43
635,51,6,610
640,61,6,1026
641,77,6,119
642,69,6,103
663,46,6,71
675,67,6,332
679,49,6,38
692,88,6,16
697,78,6,2047
701,58,6,1179
702,80,6,521
709,27,6,1103
713,72,6,442
716,63,6,976
736,67,6,52
737,56,6,2231
738,35,6,182
749,31,6,145
760,8,6,811
762,27,6,823
771,79,6,194
773,64,6,595
793,24,6,45
796,17,6,1071
798,71,6,27
800,57,6,32
803,82,6,21
807,35,6,292
810,49,6,641
819,84,6,1103
821,46,6,2077
830,5,6,1658
832,90,6,747
833,62,6,72
837,0,6,174
839,54,6,170
843,47,6,805
849,65,6,660
850,4,6,757
851,48,6,642
868,99,6,65
873,3,6,1178
879,66,6,458
880,47,6,96
891,60,6,11
895,69,6,594
898,39,6,147
902,74,6,312
905,38,6,84
907,36,6,362
916,67,6,31
922,79,6,48
933,31,6,25
938,30,6,87
940,9,6,311
942,36,6,299
944,6,6,393
945,53,6,133
946,92,6,210
948,32,6,41
954,77,6,102
955,81,6,240
961,92,6,860
965,34,6,590
966,98,6,691
967,11,6,515
968,24,6,187
975,25,6,264
977,10,6,414
979,11,6,112
983,82,6,414
988,84,6,1193
999,95,6,730
1000,48,6,964
1008,31,6,1021
1010,94,6,78
1012,26,6,884
1016,43,6,55
1020,70,6,1366
1029,27,6,279
1030,72,6,38
1031,5,6,1062
1041,3,6,424
1044,44,6,596
1045,55,6,279
1048,11,6,178
1050,58,6,65
1052,24,6,1001
1055,40,6,45
1064,18,6,42
1065,85,6,1918
1071,10,6,1034
1072,64,6,93
1077,52,6,1020
1079,59,6,1086
1081,26,6,1019
1087,30,6,173
1092,17,6,1147
1100,33,6,61
1103,60,6,2053
1109,38,6,12
1118,87,6,685
1127,62,6,1958
1131,54,6,95
1135,96,6,47
1137,87,6,1379
1139,56,6,1512
1142,91,6,428
1143,43,6,55
1146,5,6,874
1150,36,6,1853
1158,27,6,144
1160,48,6,49
1162,23,6,653
1165,62,6,496
1168,62,6,1401
1170,45,6,244
1172,71,6,2034
1173,73,6,2252
1175,24,6,426
1176,50,6,25
1177,77,6,129
1183,11,6,22
1184,46,6,845
1204,45,6,1829
1212,7,6,936
1215,49,6,1572
1225,47,6,1495
1232,54,6,1244
1241,1,6,51
1245,45,6,1371
1250,82,6,84
1272,49,6,903
1277,29,6,1004
1291,90,6,351
1295,96,6,725
1307,15,6,63
1321,49,6,56
1324,93,6,91
1328,56,6,683
1331,54,6,72
1340,42,6,1795
1343,55,6,586
1349,4,6,148
1351,25,6,1220
1357,90,6,1562
1361,26,6,1435
1362,75,6,449
1371,72,6,984
1377,24,6,285
1378,24,6,694
1379,12,6,241
1381,20,6,324
1384,10,6,62
1386,0,6,11
1388,11,6,112
1399,52,6,1515
1402,1,6,1253
1403,40,6,38
1404,89,6,231
1406,49,6,415
1407,5,6,57
1409,69,6,444
1411,58,6,940
1419,11,6,76
1440,84,6,1149
1446,12,6,1226
1448,33,6,51
1453,59,6,1060
1456,25,6,1180
1458,40,6,44
1459,16,6,928
1461,74,6,38
1463,9,6,21
1473,0,6,72
1490,84,6,854
1491,87,6,559
1497,8,6,407
1501,21,6,1717
1502,67,6,52
1503,31,6,107
1506,26,6,140
1509,80,6,523
1513,72,6,1250
1515,9,6,28
1517,92,6,51
1518,29,6,749
1519,2,6,73
1523,25,6,96
1524,1,6,1104
1542,26,6,396
1544,51,6,1893
1545,95,6,443
1553,71,6,2283
1570,8,6,1039
1577,14,6,1736
1581,18,6,17
1584,79,6,482
1592,25,6,1724
1600,60,6,411
1604,93,6,225
1606,65,6,22
1612,82,6,47
1618,9,6,692
1619,2,6,1588
1626,37,6,49
1627,84,6,789
1628,54,6,960
1630,56,6,424
1631,3,6,1282
1640,49,6,108
1646,36,6,46
1650,13,6,1643
1655,81,6,48
1663,97,6,49
1665,71,6,1750
1672,74,6,461
1676,30,6,266
1685,21,6,1482
1710,51,6,279
1715,45,6,48
1717,43,6,273
1726,23,6,81
1729,14,6,1377
1734,37,6,81
1740,22,6,999
1743,99,6,801
1744,67,6,54
1745,88,6,1313
1755,93,6,114
1763,62,6,2524
1764,92,6,270
1772,2,6,2043
1773,38,6,57
1777,29,6,74
1802,23,6,680
1818,23,6,38
1826,0,6,1190
1829,55,6,1232
1833,91,6,133
1834,77,6,67
1839,25,6,141
1857,2,6,83
1859,34,6,1890
1867,42,6,1336
1876,15,6,85
1878,83,6,37
1880,17,6,93
1890,95,6,25
1891,12,6,1754
1907,53,6,1477
1911,6,6,1364
1915,57,6,1507
1916,92,6,437
1920,59,6,102
1921,74,6,71
1927,41,6,690
1928,73,6,83
1940,26,6,18
1945,4,6,1400
1951,92,6,839
1958,85,6,660
1964,66,6,1603
1966,96,6,1672
1968,37,6,28
1970,14,6,103
1987,34,6,59
1990,74,6,1797
1991,0,6,96
1992,2,6,893
1993,63,6,972
1994,11,6,19
1998,82,6,84
2002,81,6,1870
2004,65,6,1168
2005,86,6,75
2008,93,6,1149
2021,47,6,1388
2036,29,6,401
2055,37,6,49
2061,61,6,99
2066,56,6,114
2072,34,6,1064
2075,56,6,1047
2079,0,6,1208
2088,98,6,1631
2098,38,6,17
2106,99,6,34
2109,60,6,1544
2114,23,6,1315
2115,68,6,66
2118,68,6,622
2125,82,6,1102
2130,4,6,147
2131,37,6,1307
2134,94,6,694
2139,19,6,31
2147,91,6,2279
2150,83,6,1482
2154,33,6,44
2156,38,6,41
2157,49,6,77
2162,19,6,561
2166,55,6,23
2173,23,6,32
2174,38,6,27
2176,40,6,1690
2181,45,6,1280
2186,30,6,2257
2202,98,6,69
2217,46,6,23
2223,52,6,1826
2225,54,6,1617
2227,92,6,210
2230,84,6,43
2245,50,6,139
2246,91,6,183
2253,15,6,85
2254,95,6,1455
2256,33,6,21
2258,76,6,42
2261,5,6,16
2262,74,6,311
2276,71,6,868
2278,86,6,133
2281,34,6,28
2285,0,6,335
2286,27,6,114
2292,94,6,24
2295,57,6,825
2296,4,6,30
2304,86,6,770
2308,40,6,330
2315,55,6,96
2320,98,6,635
2324,12,6,1065
2326,15,6,85
2337,77,6,39
2345,54,6,1244
2350,87,6,1027
2371,22,6,81
2375,75,6,22
2379,31,6,1635
2387,9,6,275
2392,59,6,102
2404,4,6,257
2406,63,6,519
2407,10,6,1555
2408,20,6,733
2410,69,6,1097
2415,99,6,953
2416,83,6,1288
2426,35,6,895
2428,23,6,78
2429,4,6,1338
2431,70,6,67
2437,69,6,1611
2445,87,6,63
2447,71,6,69
2452,8,6,318
2453,83,6,819
2456,84,6,149
2457,23,6,45
2461,79,6,43
2471,39,6,299
2478,48,6,38
2488,80,6,64
2493,34,6,608
2495,24,6,816
2499,38,6,563
2516,84,6,78
2518,16,6,30
2521,10,6,59
2525,65,6,534
2532,95,6,1651
2534,4,6,188
2535,24,6,844
2541,7,6,48
2544,68,6,92
2546,7,6,70
2549,80,6,27
2552,11,6,446
2557,52,6,29
2561,45,6,1371
2563,80,6,43
2564,87,6,165
2565,69,6,1334
2569,38,6,46
2570,35,6,815
2574,27,6,1230
2579,95,6,835
2587,21,6,20
2589,65,6,59
2591,49,6,932
2607,78,6,630
2611,66,6,1910
2612,33,6,1682
2613,16,6,237
2620,48,6,23
2625,30,6,350
2631,29,6,1149
2632,10,6,500
2634,10,6,69
2639,45,6,68
2656,63,6,59
2661,95,6,44
2666,21,6,907
2669,66,6,1127
2674,79,6,1143
2677,11,6,241
2678,62,6,209
2681,1,6,461
2683,56,6,910
2686,49,6,26
2694,44,6,24
2698,52,6,415
2711,6,6,31
2712,85,6,715
2715,11,6,180
2724,33,6,19
2727,19,6,409
2730,64,6,1231
2736,88,6,849
2740,81,6,90
2747,90,6,2126
2781,55,6,1792
2782,23,6,404
2793,10,6,1034
2795,0,6,13
2797,34,6,1073
2798,54,6,1240
2802,61,6,961
2804,86,6,120
2807,24,6,1001
2811,21,6,62
2814,6,6,31
2815,46,6,120
2826,28,6,37
2829,25,6,731
2831,99,6,1179
2836,61,6,19
2849,25,6,1180
2853,74,6,275
2861,79,6,23
2863,67,6,1052
2868,33,6,57
2870,6,6,502
2874,20,6,32
2875,93,6,906
2877,21,6,541
2878,93,6,414
2882,31,6,995
2886,70,6,1217
2891,51,6,928
2894,74,6,2013
2895,79,6,195
2902,87,6,45
2909,89,6,1264
2918,72,6,91
2920,63,6,990
2926,62,6,1374
2928,63,6,990
2929,27,6,137
2930,7,6,1281
2931,95,6,1192
2936,46,6,23
2937,47,6,871
2939,96,6,1631
2942,20,6,486
2945,25,6,46
2948,76,6,185
2952,80,6,76
2958,53,6,57
2961,86,6,382
2963,56,6,1440
2964,0,6,72
2968,53,6,902
2975,89,6,1956
2980,52,6,35
2986,89,6,20
2995,64,6,1084
3005,7,6,1650
3006,83,6,43
3007,49,6,40
3009,8,6,1766
3010,87,6,2069
3011,23,6,227
3025,4,6,306
3032,97,6,193
3033,56,6,318
3037,32,6,410
3050,13,6,235
3056,63,6,1150
3066,2,6,231
3068,1,6,43
3074,66,6,1828
3075,47,6,382
3076,18,6,612
3081,65,6,20
3083,88,6,373
3091,27,6,823
3099,48,6,310
3102,32,6,32
3104,89,6,2006
3107,31,6,350
3112,2,6,24
3117,95,6,450
3120,49,6,22
3129,30,6,45
