"customer_id","total_spend","running_total","cumulative_percentage","customer_percentage"
5735,"2525","2525","0.19","0.04"
5350,"2525","5050","0.37","0.09"
1763,"2524","7574","0.56","0.13"
4580,"2486","10060","0.74","0.18"
4475,"2440","12500","0.92","0.22"
5453,"2352","14852","1.09","0.27"
10133,"2349","17201","1.27","0.31"
9010,"2346","19547","1.44","0.36"
5386,"2302","21849","1.61","0.40"
6024,"2302","24151","1.78","0.45"
1553,"2283","26434","1.95","0.49"
2147,"2279","28713","2.12","0.54"
2186,"2257","30970","2.28","0.58"
1173,"2252","33222","2.45","0.63"
737,"2231","35453","2.61","0.67"
6248,"2217","37670","2.78","0.71"
3334,"2211","39881","2.94","0.76"
7503,"2209","42090","3.10","0.80"
5236,"2194","44284","3.26","0.85"
477,"2157","46441","3.42","0.89"
7274,"2153","48594","3.58","0.94"
3698,"2130","50724","3.74","0.98"
2747,"2126","52850","3.89","1.03"
8867,"2126","54976","4.05","1.07"
6932,"2119","57095","4.21","1.12"
6421,"2116","59211","4.36","1.16"
5830,"2114","61325","4.52","1.21"
9826,"2114","63439","4.67","1.25"
3403,"2092","65531","4.83","1.29"
7919,"2092","67623","4.98","1.34"
3690,"2091","69714","5.14","1.38"
203,"2089","71803","5.29","1.43"
313,"2088","73891","5.45","1.47"
6072,"2087","75978","5.60","1.52"
7627,"2086","78064","5.75","1.56"
821,"2077","80141","5.91","1.61"
4910,"2074","82215","6.06","1.65"
3010,"2069","84284","6.21","1.70"
4947,"2059","86343","6.36","1.74"
1103,"2053","88396","6.51","1.79"
3139,"2052","90448","6.67","1.83"
697,"2047","92495","6.82","1.88"
1772,"2043","94538","6.97","1.92"
1172,"2034","96572","7.12","1.96"
4597,"2018","98590","7.27","2.01"
2894,"2013","100603","7.41","2.05"
5848,"2009","102612","7.56","2.10"
4248,"2008","104620","7.71","2.14"
7451,"2008","106628","7.86","2.19"
3104,"2006","108634","8.01","2.23"
569,"1991","110625","8.15","2.28"
10619,"1990","112615","8.30","2.32"
9220,"1968","114583","8.44","2.37"
1127,"1958","116541","8.59","2.41"
10949,"1958","118499","8.73","2.46"
6260,"1957","120456","8.88","2.50"
3174,"1957","122413","9.02","2.54"
5536,"1957","124370","9.17","2.59"
2975,"1956","126326","9.31","2.63"
10936,"1947","128273","9.45","2.68"
500,"1941","130214","9.60","2.72"
5955,"1932","132146","9.74","2.77"
3919,"1931","134077","9.88","2.81"
4530,"1930","136007","10.02","2.86"
6036,"1924","137931","10.16","2.90"
4278,"1923","139854","10.31","2.95"
11071,"1923","141777","10.45","2.99"
6977,"1921","143698","10.59","3.04"
8362,"1919","145617","10.73","3.08"
4543,"1919","147536","10.87","3.13"
5547,"1919","149455","11.01","3.17"
1065,"1918","151373","11.16","3.21"
2611,"1910","153283","11.30","3.26"
9743,"1910","155193","11.44","3.30"
8164,"1908","157101","11.58","3.35"
3711,"1902","159003","11.72","3.39"
7962,"1901","160904","11.86","3.44"
10909,"1899","162803","12.00","3.48"
4702,"1895","164698","12.14","3.53"
1544,"1893","166591","12.28","3.57"
1859,"1890","168481","12.42","3.62"
2002,"1870","170351","12.55","3.66"
5331,"1869","172220","12.69","3.71"
9058,"1867","174087","12.83","3.75"
3910,"1862","175949","12.97","3.79"
5538,"1862","177811","13.10","3.84"
1150,"1853","179664","13.24","3.88"
4856,"1853","181517","13.38","3.93"
8722,"1853","183370","13.51","3.97"
8717,"1835","185205","13.65","4.02"
5031,"1833","187038","13.78","4.06"
1204,"1829","188867","13.92","4.11"
3074,"1828","190695","14.05","4.15"
2223,"1826","192521","14.19","4.20"
4299,"1825","194346","14.32","4.24"
6292,"1822","196168","14.46","4.29"
7431,"1820","197988","14.59","4.33"
11088,"1816","199804","14.72","4.38"
5831,"1815","201619","14.86","4.42"
590,"1812","203431","14.99","4.46"
9493,"1808","205239","15.12","4.51"
380,"1804","207043","15.26","4.55"
6049,"1804","208847","15.39","4.60"
9298,"1798","210645","15.52","4.64"
1990,"1797","212442","15.66","4.69"
1340,"1795","214237","15.79","4.73"
2781,"1792","216029","15.92","4.78"
8545,"1789","217818","16.05","4.82"
6565,"1782","219600","16.18","4.87"
7233,"1782","221382","16.31","4.91"
3979,"1779","223161","16.45","4.96"
10489,"1778","224939","16.58","5.00"
8314,"1772","226711","16.71","5.04"
3009,"1766","228477","16.84","5.09"
8931,"1761","230238","16.97","5.13"
3667,"1757","231995","17.10","5.18"
1891,"1754","233749","17.23","5.22"
460,"1753","235502","17.35","5.27"
1665,"1750","237252","17.48","5.31"
7999,"1743","238995","17.61","5.36"
8318,"1738","240733","17.74","5.40"
1577,"1736","242469","17.87","5.45"
4994,"1735","244204","18.00","5.49"
6203,"1734","245938","18.12","5.54"
5376,"1730","247668","18.25","5.58"
4931,"1730","249398","18.38","5.63"
4943,"1727","251125","18.51","5.67"
10140,"1727","252852","18.63","5.71"
1592,"1724","254576","18.76","5.76"
4611,"1724","256300","18.89","5.80"
6749,"1722","258022","19.01","5.85"
9242,"1722","259744","19.14","5.89"
10965,"1722","261466","19.27","5.94"
1501,"1717","263183","19.39","5.98"
8278,"1711","264894","19.52","6.03"
9260,"1706","266600","19.65","6.07"
5113,"1702","268302","19.77","6.12"
5667,"1701","270003","19.90","6.16"
4676,"1695","271698","20.02","6.21"
4114,"1693","273391","20.15","6.25"
10164,"1691","275082","20.27","6.29"
9121,"1690","276772","20.40","6.34"
