"customer_id","recency","frequency","inactive"
2831,99,6,"Yes"
4070,99,6,"Yes"
5263,99,6,"Yes"
868,99,6,"Yes"
7829,99,6,"Yes"
1743,99,6,"Yes"
7232,99,6,"Yes"
2415,99,6,"Yes"
9977,99,6,"Yes"
3363,99,6,"Yes"
22,99,6,"Yes"
8595,99,6,"Yes"
7947,99,6,"Yes"
7212,99,6,"Yes"
528,99,6,"Yes"
10142,99,6,"Yes"
2106,99,6,"Yes"
5602,98,6,"Yes"
2088,98,6,"Yes"
7230,98,6,"Yes"
8475,98,6,"Yes"
5871,98,6,"Yes"
2202,98,6,"Yes"
3979,98,6,"Yes"
966,98,6,"Yes"
213,98,6,"Yes"
9757,98,6,"Yes"
6722,98,6,"Yes"
5687,98,6,"Yes"
9706,98,6,"Yes"
2320,98,6,"Yes"
9645,98,6,"Yes"
313,98,6,"Yes"
10001,98,6,"Yes"
4974,98,6,"Yes"
8070,98,6,"Yes"
3846,98,6,"Yes"
8541,98,6,"Yes"
5675,98,6,"Yes"
9925,97,6,"Yes"
5153,97,6,"Yes"
3032,97,6,"Yes"
7181,97,6,"Yes"
7613,97,6,"Yes"
4127,97,6,"Yes"
6382,97,6,"Yes"
9940,97,6,"Yes"
7527,97,6,"Yes"
8602,97,6,"Yes"
9499,97,6,"Yes"
9771,97,6,"Yes"
3406,97,6,"Yes"
1663,97,6,"Yes"
5441,97,6,"Yes"
3231,97,6,"Yes"
6568,97,6,"Yes"
5046,97,6,"Yes"
8439,97,6,"Yes"
48,97,6,"Yes"
3336,96,6,"Yes"
7789,96,6,"Yes"
10492,96,6,"Yes"
1966,96,6,"Yes"
24,96,6,"Yes"
8952,96,6,"Yes"
3921,96,6,"Yes"
10262,96,6,"Yes"
2939,96,6,"Yes"
9826,96,6,"Yes"
3270,96,6,"Yes"
1135,96,6,"Yes"
5748,96,6,"Yes"
5644,96,6,"Yes"
5830,96,6,"Yes"
7987,96,6,"Yes"
574,96,6,"Yes"
8310,96,6,"Yes"
3266,96,6,"Yes"
5948,96,6,"Yes"
10500,96,6,"Yes"
7244,96,6,"Yes"
456,96,6,"Yes"
6663,96,6,"Yes"
1295,96,6,"Yes"
999,95,6,"Yes"
1890,95,6,"Yes"
2931,95,6,"Yes"
5847,95,6,"Yes"
9523,95,6,"Yes"
3130,95,6,"Yes"
5863,95,6,"Yes"
2254,95,6,"Yes"
2532,95,6,"Yes"
3117,95,6,"Yes"
10172,95,6,"Yes"
1545,95,6,"Yes"
2579,95,6,"Yes"
5589,95,6,"Yes"
4789,95,6,"Yes"
2661,95,6,"Yes"
5623,95,6,"Yes"
5268,95,6,"Yes"
6729,95,6,"Yes"
4501,94,6,"Yes"
3469,94,6,"Yes"
3310,94,6,"Yes"
9553,94,6,"Yes"
5015,94,6,"Yes"
