"customer_id","frequency","monetary","high_freq_low_monetary"
5642,6,222,"Yes"
10660,6,438,"Yes"
4790,6,868,"No"
8318,6,1738,"No"
273,6,151,"Yes"
6977,6,1921,"No"
8230,6,71,"Yes"
2574,6,1230,"No"
6906,6,1024,"No"
5084,6,1064,"No"
4756,6,1168,"No"
11092,6,41,"Yes"
176,6,331,"Yes"
8091,6,1106,"No"
4741,6,562,"No"
1331,6,72,"Yes"
6354,6,47,"Yes"
663,6,71,"Yes"
6983,6,45,"Yes"
10277,6,42,"Yes"
6945,6,1375,"No"
7301,6,79,"Yes"
6431,6,68,"Yes"
3725,6,1688,"No"
2125,6,1102,"No"
8562,6,236,"Yes"
10219,6,38,"Yes"
3762,6,925,"No"
10489,6,1778,"No"
940,6,311,"Yes"
3641,6,36,"Yes"
9750,6,1307,"No"
10364,6,20,"Yes"
5350,6,2525,"No"
6544,6,976,"No"
2276,6,868,"No"
2631,6,1149,"No"
3202,6,1250,"No"
4188,6,354,"Yes"
6905,6,1004,"No"
4791,6,41,"Yes"
113,6,28,"Yes"
9612,6,43,"Yes"
10637,6,99,"Yes"
6528,6,10,"Yes"
10430,6,1472,"No"
4095,6,467,"Yes"
4611,6,1724,"No"
10281,6,602,"No"
6999,6,834,"No"
8724,6,46,"Yes"
2404,6,257,"Yes"
4452,6,372,"Yes"
7281,6,186,"Yes"
3834,6,861,"No"
7938,6,449,"Yes"
4518,6,1169,"No"
10492,6,10,"Yes"
7540,6,270,"Yes"
1857,6,83,"Yes"
7761,6,109,"Yes"
5644,6,363,"Yes"
9960,6,14,"Yes"
6257,6,507,"No"
6141,6,385,"Yes"
1143,6,55,"Yes"
10232,6,331,"Yes"
2661,6,44,"Yes"
4470,6,140,"Yes"
4066,6,46,"Yes"
4669,6,102,"Yes"
3855,6,162,"Yes"
7181,6,52,"Yes"
6445,6,858,"No"
9362,6,568,"No"
5093,6,101,"Yes"
1606,6,22,"Yes"
9491,6,66,"Yes"
5692,6,32,"Yes"
9977,6,734,"No"
5237,6,63,"Yes"
1940,6,18,"Yes"
9964,6,424,"Yes"
10159,6,1185,"No"
4271,6,341,"Yes"
4643,6,176,"Yes"
3068,6,43,"Yes"
6534,6,67,"Yes"
7290,6,968,"No"
10870,6,1341,"No"
8443,6,86,"Yes"
2544,6,92,"Yes"
1118,6,685,"No"
1990,6,1797,"No"
4356,6,1574,"No"
8560,6,680,"No"
241,6,1574,"No"
175,6,1443,"No"
5117,6,576,"No"
4298,6,10,"Yes"
3732,6,860,"No"
4754,6,122,"Yes"
2891,6,928,"No"
9206,6,1121,"No"
5763,6,380,"Yes"
13,6,32,"Yes"
