"customer_id","total_spend"
5642,222
10660,438
4790,868
8318,1738
273,151
6977,1921
8230,71
2574,1230
6906,1024
5084,1064
4756,1168
11092,41
176,331
8091,1106
4741,562
1331,72
6354,47
663,71
6983,45
10277,42
6945,1375
7301,79
6431,68
3725,1688
2125,1102
8562,236
10219,38
3762,925
10489,1778
940,311
3641,36
9750,1307
10364,20
5350,2525
6544,976
2276,868
2631,1149
3202,1250
4188,354
6905,1004
4791,41
113,28
9612,43
10637,99
6528,10
10430,1472
4095,467
4611,1724
10281,602
6999,834
8724,46
2404,257
4452,372
7281,186
3834,861
7938,449
4518,1169
10492,10
7540,270
1857,83
7761,109
5644,363
9960,14
6257,507
6141,385
1143,55
10232,331
2661,44
4470,140
4066,46
4669,102
3855,162
7181,52
6445,858
9362,568
5093,101
1606,22
9491,66
5692,32
9977,734
5237,63
1940,18
9964,424
10159,1185
4271,341
4643,176
3068,43
6534,67
7290,968
10870,1341
8443,86
2544,92
1118,685
1990,1797
4356,1574
8560,680
241,1574
175,1443
5117,576
4298,10
3732,860
4754,122
2891,928
9206,1121
5763,380
13,32
11051,661
3769,42
6961,11
7393,92
6183,140
9076,185
246,312
75,467
9185,1029
5794,446
1992,893
1403,38
2952,76
2683,910
3635,578
10413,1089
922,48
453,45
3921,205
6825,16
2920,990
5140,1445
182,397
7042,66
528,1383
4351,55
3422,1376
3463,904
5252,67
4102,23
3602,195
8825,564
9771,269
2098,17
3138,1676
378,794
2579,835
3717,704
1349,148
1050,65
4769,493
8475,1608
5623,51
10749,178
5371,91
4808,17
1523,96
5283,144
1044,596
4967,268
10022,16
7959,1370
5848,2009
9316,29
8182,121
2150,1482
3523,1073
1646,46
1987,59
6912,772
944,393
8254,23
5453,2352
8416,44
3526,38
5316,84
10352,117
10262,53
948,41
4148,348
3107,350
1250,84
965,590
1966,1672
4992,69
2345,1244
521,581
5289,72
4084,873
7788,10
7366,1438
6086,1380
11025,138
255,21
7141,213
3308,94
5628,1665
9463,1443
6237,416
8402,794
10584,945
5782,763
5680,30
1411,940
2130,147
4702,1895
7192,545
4200,275
3032,193
4086,60
5121,761
4391,908
10708,33
524,96
4096,187
8624,928
4322,1291
11004,22
5585,48
498,57
8362,1919
11148,13
3571,1101
9635,129
4587,266
6222,37
10722,546
4548,54
6818,369
1048,178
3979,1779
5610,36
10311,359
10872,1182
1215,1572
2591,932
9665,361
5049,46
5529,444
2736,849
2410,1097
2254,1455
6024,2302
2426,895
8890,272
7108,353
7786,160
9381,606
2948,185
6927,264
9648,253
7828,818
4654,1253
1503,107
4743,971
675,332
5517,37
10207,15
2782,404
4459,37
10160,46
5961,57
6424,49
8581,751
11110,5
10795,48
9386,320
7422,369
898,147
7019,211
2807,1001
2447,69
4785,714
4487,95
7313,1565
7453,488
6250,775
6749,1722
4094,289
8427,1540
837,174
2894,2013
9940,1009
2535,844
6055,1305
2961,382
2114,1315
4114,1693
6722,767
8314,1772
9235,18
4947,2059
5247,45
4725,67
6613,727
9029,1536
11178,32
5186,731
5031,1833
7396,1597
10314,1318
6575,612
7326,63
7685,78
3130,44
2292,24
8414,86
8213,96
7264,17
1928,83
5790,72
1878,37
1328,683
9507,434
7300,535
843,805
6504,78
7411,17
7912,103
1911,1364
2428,78
7022,1410
8659,1038
4405,789
3969,133
5538,1862
10001,100
800,32
1165,496
8360,198
3406,322
6248,2217
5062,39
8720,1679
3846,270
807,292
7165,823
5068,26
624,35
6616,461
10573,421
7428,1367
4279,54
4098,44
361,20
4440,546
1173,2252
6177,169
5991,266
5278,902
2227,210
5376,1730
7274,2153
10868,1272
4607,777
3517,161
5967,70
8916,16
10475,317
3136,663
10789,68
252,601
6233,971
7798,429
2534,188
10424,1295
9500,758
6721,1213
8486,367
8870,497
199,315
5290,279
4338,44
4477,653
4198,25
902,312
3783,116
5621,316
7010,1363
1142,428
8462,80
3536,55
2166,23
2986,20
7023,263
10914,17
8663,15
8029,1621
78,37
1663,49
10133,2349
1998,84
3865,73
4483,1228
6878,324
1927,690
5324,422
8372,30
3623,45
4597,2018
10146,42
9624,963
5562,735
5079,97
5935,764
9738,100
3427,734
6246,1507
2387,275
5802,75
10767,1346
455,209
1630,424
713,442
1592,1724
3403,2092
448,795
9209,1564
7613,326
701,1179
1092,1147
6379,121
322,41
6652,1134
9592,33
9984,724
7901,22
10196,614
10699,92
4376,93
9829,78
10862,326
9360,316
10163,1323
4168,433
7433,165
10525,27
1052,1001
9308,976
10680,70
10995,92
8234,18
3852,964
7660,49
6634,54
286,152
2963,1440
10669,470
4998,1033
5863,655
1834,67
2711,31
4370,88
10598,37
2930,1281
2278,133
535,778
4301,59
8181,177
4832,101
642,103
3056,1150
3409,339
2698,415
3117,450
8534,992
4107,425
5046,1638
832,747
907,362
8727,1150
5138,43
9264,1638
9120,1065
4286,679
10104,8
2656,59
3690,2091
2942,486
4042,180
5536,1957
3645,70
1764,270
10470,92
8867,2126
7011,93
6931,1062
7990,17
9467,20
5386,2302
8832,123
7235,38
5909,1171
3710,81
5125,1348
5229,42
9826,2114
5172,1053
11188,89
3766,835
9216,44
8537,1429
158,1196
9265,1390
10854,45
2918,91
3298,1152
8805,371
10383,1093
123,993
2939,1631
5596,728
5074,47
492,424
6406,1427
8432,684
4444,61
2375,22
8387,235
544,976
5710,120
1631,1282
6516,18
606,15
3967,943
2134,694
880,96
9523,15
1072,93
9213,15
5721,1566
2669,1127
24,47
2712,715
966,691
4345,21
10841,484
6365,80
6404,282
1055,45
5176,53
49,25
9014,61
6382,54
8418,61
9239,126
6230,189
1502,52
5872,639
2021,1388
6398,50
5043,434
5987,43
477,2157
7128,15
10340,497
6887,564
2431,67
4299,1825
8895,968
1362,449
4554,448
9701,312
9349,1131
7698,191
10673,1416
3010,2069
1509,523
9396,25
2075,1047
5424,156
8775,137
849,660
9481,68
9958,769
9298,1798
2055,49
8755,1196
8594,135
3231,30
7381,1442
4138,899
3170,1042
961,860
6184,1670
5751,38
2532,1651
269,1143
6318,1366
5547,1919
5207,793
3507,1575
11091,22
10398,31
125,271
9668,77
7409,267
7397,688
5423,16
5948,237
3619,1152
10888,636
5756,55
9733,80
8953,35
7734,1216
8080,22
9589,1234
3426,1596
5231,51
8135,52
4480,401
3712,259
8008,119
2826,37
1232,1244
7451,2008
1890,25
2831,1179
4915,732
4246,373
4058,811
9503,313
3321,542
10727,1586
10602,156
1628,960
10339,207
7610,460
1650,1643
340,497
523,74
11086,21
10642,37
5718,1415
1970,103
368,290
4786,1109
6349,1319
10925,1003
6768,36
4333,54
4369,1169
538,125
7629,31
3050,235
11112,1477
2815,120
10172,1538
9153,1048
3830,459
9305,1315
10379,574
6658,1194
7053,1453
5636,167
359,504
5577,23
10736,1525
6988,1443
3009,1766
2811,62
2488,64
217,1540
1212,936
3537,79
4500,1598
3678,656
5796,1125
5156,889
6036,1924
5184,23
6661,1174
3520,1092
6310,78
7476,1269
11191,139
2877,541
3870,1006
9347,46
8036,63
2173,32
5846,13
7488,825
3595,1138
6197,57
9710,792
1991,96
3182,263
11176,495
3483,1526
304,76
4137,1076
6856,65
7254,137
8614,507
450,270
4508,833
405,441
10473,528
5389,347
762,823
6409,1179
10323,304
9478,401
2246,183
679,38
983,414
375,1156
9262,52
4426,527
4385,47
2546,70
4070,1078
6147,28
6568,79
6488,99
1160,49
7600,29
4268,158
7505,46
2611,1910
5396,1366
1079,1086
8625,45
1384,62
821,2077
1826,1190
10401,18
9855,1020
9493,1808
6609,107
3584,1396
9687,726
9,120
3698,2130
1490,854
736,52
5393,42
5077,969
9707,1182
8405,305
1041,424
8104,278
1640,108
10968,704
10031,53
1968,28
9904,1043
9504,1008
4002,1123
6941,95
1726,81
10755,81
8207,40
2162,561
5885,211
2928,990
4530,1930
5544,1490
7822,662
2797,1073
1357,1562
4843,833
5545,988
4475,2440
1020,1366
1127,1958
10446,729
8732,1461
5286,217
7532,132
5107,49
2868,57
3066,231
2625,350
7444,30
2499,563
4261,1315
2886,1217
8477,28
1859,1890
7679,28
11096,232
6355,45
3887,106
8233,556
9010,2346
2694,24
6497,433
4939,317
9860,215
2217,23
10395,101
367,577
10164,1691
5835,65
10102,1478
4220,87
8395,1511
10742,746
247,357
2326,85
5929,48
8925,1012
5564,1338
6728,48
5726,60
10341,222
5147,1424
2186,2257
3267,608
4050,127
5667,1701
1584,482
2639,68
332,275
3091,823
3281,411
5491,319
4415,38
8962,37
10142,689
5120,1289
9723,1016
6663,157
3850,43
2253,85
9426,900
4994,1735
8082,34
819,1103
2607,630
10928,599
5177,396
7620,106
6202,1005
1891,1754
5837,494
7055,1021
4552,393
10691,43
4690,586
2561,1371
6181,939
10678,917
5081,47
9289,63
3266,125
236,170
8652,317
9432,62
6885,55
3515,160
10466,60
1064,42
1626,49
454,1135
9121,1690
9214,358
879,458
9145,1478
7872,557
7930,268
500,1941
1204,1829
2795,13
73,18
2980,35
7196,13
1994,19
3436,20
10304,60
9617,19
1407,57
11039,311
6072,2087
7101,1198
2495,816
10245,756
2937,871
6255,334
1031,1062
1184,845
8175,137
5302,1428
9974,70
9729,615
10212,100
5552,293
5989,1576
1717,273
11010,44
9606,1536
6974,1497
6642,102
5114,965
8557,46
1100,61
