"customer_id","average_spend"
5642,37.00
10660,73.00
4790,144.67
8318,289.67
273,25.17
6977,320.17
8230,11.83
2574,205.00
6906,170.67
5084,177.33
4756,194.67
11092,6.83
176,55.17
8091,184.33
4741,93.67
1331,12.00
6354,7.83
663,11.83
6983,7.50
10277,7.00
6945,229.17
7301,13.17
6431,11.33
3725,281.33
2125,183.67
8562,39.33
10219,6.33
3762,154.17
10489,296.33
940,51.83
3641,6.00
9750,217.83
10364,3.33
5350,420.83
6544,162.67
2276,144.67
2631,191.50
3202,208.33
4188,59.00
6905,167.33
4791,6.83
113,4.67
9612,7.17
10637,16.50
6528,1.67
10430,245.33
4095,77.83
4611,287.33
10281,100.33
6999,139.00
8724,7.67
2404,42.83
4452,62.00
7281,31.00
3834,143.50
7938,74.83
4518,194.83
10492,1.67
7540,45.00
1857,13.83
7761,18.17
5644,60.50
9960,2.33
6257,84.50
6141,64.17
1143,9.17
10232,55.17
2661,7.33
4470,23.33
4066,7.67
4669,17.00
3855,27.00
7181,8.67
6445,143.00
9362,94.67
5093,16.83
1606,3.67
9491,11.00
5692,5.33
9977,122.33
5237,10.50
1940,3.00
9964,70.67
10159,197.50
4271,56.83
4643,29.33
3068,7.17
6534,11.17
7290,161.33
10870,223.50
8443,14.33
2544,15.33
1118,114.17
1990,299.50
4356,262.33
8560,113.33
241,262.33
175,240.50
5117,96.00
4298,1.67
3732,143.33
4754,20.33
2891,154.67
9206,186.83
5763,63.33
13,5.33
11051,110.17
3769,7.00
6961,1.83
7393,15.33
6183,23.33
9076,30.83
246,52.00
75,77.83
9185,171.50
5794,74.33
1992,148.83
1403,6.33
2952,12.67
2683,151.67
3635,96.33
10413,181.50
922,8.00
453,7.50
3921,34.17
6825,2.67
2920,165.00
5140,240.83
182,66.17
7042,11.00
528,230.50
4351,9.17
3422,229.33
3463,150.67
5252,11.17
4102,3.83
3602,32.50
8825,94.00
9771,44.83
2098,2.83
3138,279.33
378,132.33
2579,139.17
3717,117.33
1349,24.67
1050,10.83
4769,82.17
8475,268.00
5623,8.50
10749,29.67
5371,15.17
4808,2.83
1523,16.00
5283,24.00
1044,99.33
4967,44.67
10022,2.67
7959,228.33
5848,334.83
9316,4.83
8182,20.17
2150,247.00
3523,178.83
1646,7.67
1987,9.83
6912,128.67
944,65.50
8254,3.83
5453,392.00
8416,7.33
3526,6.33
5316,14.00
10352,19.50
10262,8.83
948,6.83
4148,58.00
3107,58.33
1250,14.00
965,98.33
1966,278.67
4992,11.50
2345,207.33
521,96.83
5289,12.00
4084,145.50
7788,1.67
7366,239.67
6086,230.00
11025,23.00
255,3.50
7141,35.50
3308,15.67
5628,277.50
9463,240.50
6237,69.33
8402,132.33
10584,157.50
5782,127.17
5680,5.00
1411,156.67
2130,24.50
4702,315.83
7192,90.83
4200,45.83
3032,32.17
4086,10.00
5121,126.83
4391,151.33
10708,5.50
524,16.00
4096,31.17
8624,154.67
4322,215.17
11004,3.67
5585,8.00
498,9.50
8362,319.83
11148,2.17
3571,183.50
9635,21.50
4587,44.33
6222,6.17
10722,91.00
4548,9.00
6818,61.50
1048,29.67
3979,296.50
5610,6.00
10311,59.83
10872,197.00
1215,262.00
2591,155.33
9665,60.17
5049,7.67
5529,74.00
2736,141.50
2410,182.83
2254,242.50
6024,383.67
2426,149.17
8890,45.33
7108,58.83
7786,26.67
9381,101.00
2948,30.83
6927,44.00
9648,42.17
7828,136.33
4654,208.83
1503,17.83
4743,161.83
675,55.33
5517,6.17
10207,2.50
2782,67.33
4459,6.17
10160,7.67
5961,9.50
6424,8.17
8581,125.17
11110,0.83
10795,8.00
9386,53.33
7422,61.50
898,24.50
7019,35.17
2807,166.83
2447,11.50
4785,119.00
4487,15.83
7313,260.83
7453,81.33
6250,129.17
6749,287.00
4094,48.17
8427,256.67
837,29.00
2894,335.50
9940,168.17
2535,140.67
6055,217.50
2961,63.67
2114,219.17
4114,282.17
6722,127.83
8314,295.33
9235,3.00
4947,343.17
5247,7.50
4725,11.17
6613,121.17
9029,256.00
11178,5.33
5186,121.83
