customer_id,recency,product_category,amount
5524,58,MntWines,635
2174,38,MntWines,11
4141,26,MntWines,426
6182,26,MntWines,11
5324,94,MntWines,173
7446,16,MntWines,520
965,34,MntWines,235
6177,32,MntWines,76
4855,19,MntWines,14
5899,68,MntWines,28
1994,11,MntWines,5
387,59,MntWines,6
2125,82,MntWines,194
8180,53,MntWines,233
2569,38,MntWines,3
2114,23,MntWines,1006
9736,51,MntWines,53
4939,20,MntWines,84
6565,91,MntWines,1012
2278,86,MntWines,4
9360,41,MntWines,86
5376,42,MntWines,1
1993,63,MntWines,867
4047,0,MntWines,384
1409,69,MntWines,270
7892,89,MntWines,6
2404,4,MntWines,173
5255,19,MntWines,5
9422,26,MntWines,36
1966,96,MntWines,684
6864,34,MntWines,8
3033,56,MntWines,112
5710,31,MntWines,110
7373,8,MntWines,96
8755,4,MntWines,482
10738,55,MntWines,40
4339,37,MntWines,702
10755,76,MntWines,6
8595,99,MntWines,55
2968,53,MntWines,437
8601,3,MntWines,421
503,88,MntWines,13
8430,4,MntWines,9
7281,80,MntWines,81
2139,19,MntWines,3
1371,72,MntWines,123
9909,24,MntWines,3
7286,92,MntWines,13
7244,96,MntWines,48
6566,39,MntWines,826
8614,29,MntWines,245
4114,2,MntWines,650
1331,54,MntWines,12
2225,54,MntWines,510
9381,57,MntWines,328
6260,55,MntWines,984
10383,30,MntWines,295
7437,31,MntWines,13
8557,57,MntWines,11
8375,63,MntWines,447
6853,12,MntWines,712
3076,18,MntWines,452
1012,26,MntWines,523
6518,8,MntWines,546
4137,29,MntWines,398
8082,75,MntWines,1
1386,0,MntWines,10
9369,19,MntWines,688
4477,4,MntWines,247
1357,90,MntWines,856
1402,1,MntWines,496
10629,25,MntWines,25
6312,29,MntWines,258
8132,88,MntWines,565
1050,58,MntWines,14
5846,68,MntWines,2
1859,34,MntWines,721
7503,40,MntWines,1032
10401,12,MntWines,1
1618,9,MntWines,577
3332,87,MntWines,64
2261,5,MntWines,4
5346,87,MntWines,25
4119,56,MntWines,112
535,18,MntWines,163
5268,95,MntWines,17
273,48,MntWines,130
4452,3,MntWines,292
8504,70,MntWines,350
771,79,MntWines,135
8996,4,MntWines,230
9235,45,MntWines,7
5798,87,MntWines,445
11178,69,MntWines,15
2230,84,MntWines,27
7516,30,MntWines,5
7247,72,MntWines,505
11100,37,MntWines,51
4646,44,MntWines,207
3037,32,MntWines,135
1473,0,MntWines,53
1016,43,MntWines,41
4518,59,MntWines,386
9370,68,MntWines,562
8908,35,MntWines,217
8373,94,MntWines,1
7533,15,MntWines,144
2683,56,MntWines,295
3629,17,MntWines,76
10991,18,MntWines,454
5077,46,MntWines,425
7431,40,MntWines,1332
3267,27,MntWines,527
999,95,MntWines,490
9215,19,MntWines,378
2286,27,MntWines,64
1592,25,MntWines,547
367,74,MntWines,47
5234,85,MntWines,12
9862,37,MntWines,1
9805,65,MntWines,320
6205,13,MntWines,34
8442,63,MntWines,9
7386,83,MntWines,17
7215,69,MntWines,722
1491,87,MntWines,162
11071,37,MntWines,450
3381,51,MntWines,70
8268,23,MntWines,352
11051,72,MntWines,492
8026,10,MntWines,120
433,42,MntWines,534
9597,10,MntWines,236
1295,96,MntWines,231
5290,51,MntWines,220
1685,21,MntWines,796
5342,31,MntWines,0
9579,61,MntWines,53
7660,37,MntWines,15
1461,74,MntWines,17
821,46,MntWines,962
11084,4,MntWines,738
8690,73,MntWines,399
2937,47,MntWines,614
9701,13,MntWines,32
9949,36,MntWines,598
10837,47,MntWines,2
3120,49,MntWines,6
5885,94,MntWines,73
4050,65,MntWines,42
3830,59,MntWines,295
7987,96,MntWines,346
7798,28,MntWines,233
92,12,MntWines,5
7055,57,MntWines,888
10240,10,MntWines,997
3025,4,MntWines,212
9283,49,MntWines,8
9970,3,MntWines,42
2730,64,MntWines,536
2795,0,MntWines,5
9260,20,MntWines,1349
8182,91,MntWines,53
10095,9,MntWines,1001
8475,98,MntWines,20
4370,83,MntWines,18
10573,27,MntWines,125
3712,63,MntWines,212
6637,46,MntWines,277
3152,84,MntWines,15
5610,58,MntWines,7
6460,78,MntWines,12
1349,4,MntWines,85
1880,17,MntWines,81
641,77,MntWines,59
8717,56,MntWines,1149
10314,79,MntWines,847
10854,90,MntWines,29
10492,96,MntWines,2
6935,44,MntWines,207
7698,81,MntWines,152
3559,77,MntWines,12
10562,21,MntWines,620
10796,16,MntWines,47
2563,80,MntWines,1
3518,45,MntWines,10
5823,63,MntWines,35
3934,34,MntWines,356
6982,14,MntWines,783
6431,13,MntWines,42
9733,52,MntWines,1
5602,98,MntWines,466
