customer_id,year_birth,education,marital_status,income,kidhome,teenhome,signup_date
5524,1957,Graduation,Single,58138,0,0,2012-09-04 00:00:00
2174,1954,Graduation,Single,46344,1,1,2014-03-08 00:00:00
4141,1965,Graduation,Together,71613,0,0,2013-08-21 00:00:00
6182,1984,Graduation,Together,26646,1,0,2014-02-10 00:00:00
5324,1981,PhD,Married,58293,1,0,2014-01-19 00:00:00
7446,1967,Master,Together,62513,0,1,2013-09-09 00:00:00
965,1971,Graduation,Divorced,55635,0,1,2012-11-13 00:00:00
6177,1985,PhD,Married,33454,1,0,2013-05-08 00:00:00
4855,1974,PhD,Together,30351,1,0,2013-06-06 00:00:00
5899,1950,PhD,Together,5648,1,1,2014-03-13 00:00:00
1994,1983,Graduation,Married,52247.25135,1,0,2013-11-15 00:00:00
387,1976,Basic,Married,7500,0,0,2012-11-13 00:00:00
2125,1959,Graduation,Divorced,63033,0,0,2013-11-15 00:00:00
8180,1952,Master,Divorced,59354,1,1,2013-11-15 00:00:00
2569,1987,Graduation,Married,17323,0,0,2012-10-10 00:00:00
2114,1946,PhD,Single,82800,0,0,2012-11-24 00:00:00
9736,1980,Graduation,Married,41850,1,1,2012-12-24 00:00:00
4939,1946,Graduation,Together,37760,0,0,2012-08-31 00:00:00
6565,1949,Master,Married,76995,0,1,2013-03-28 00:00:00
2278,1985,2n Cycle,Single,33812,1,0,2012-11-03 00:00:00
9360,1982,Graduation,Married,37040,0,0,2012-08-08 00:00:00
5376,1979,Graduation,Married,2447,1,0,2013-01-06 00:00:00
1993,1949,PhD,Married,58607,0,1,2012-12-23 00:00:00
4047,1954,PhD,Married,65324,0,1,2014-01-11 00:00:00
1409,1951,Graduation,Together,40689,0,1,2013-03-18 00:00:00
7892,1969,Graduation,Single,18589,0,0,2013-01-02 00:00:00
2404,1976,Graduation,Married,53359,1,1,2013-05-27 00:00:00
5255,1986,Graduation,Single,52247.25135,1,0,2013-02-20 00:00:00
9422,1989,Graduation,Married,38360,1,0,2013-05-31 00:00:00
1966,1965,PhD,Married,84618,0,0,2013-11-22 00:00:00
6864,1989,Master,Divorced,10979,0,0,2014-05-22 00:00:00
3033,1963,Master,Together,38620,0,0,2013-05-11 00:00:00
5710,1970,Graduation,Together,40548,0,1,2012-10-10 00:00:00
7373,1952,PhD,Divorced,46610,0,2,2012-10-29 00:00:00
8755,1946,Master,Married,68657,0,0,2013-02-20 00:00:00
10738,1951,Master,Single,49389,1,1,2013-08-29 00:00:00
4339,1970,PhD,Married,67353,0,1,2013-12-31 00:00:00
10755,1976,2n Cycle,Married,23718,1,0,2013-09-02 00:00:00
8595,1973,Graduation,Widow,42429,0,1,2014-02-11 00:00:00
2968,1943,PhD,Divorced,48948,0,0,2013-02-01 00:00:00
8601,1980,Graduation,Married,80011,0,1,2013-04-29 00:00:00
503,1985,Master,Married,20559,1,0,2013-03-12 00:00:00
8430,1957,Graduation,Together,21994,0,1,2012-12-24 00:00:00
7281,1959,PhD,Single,52247.25135,0,0,2013-11-05 00:00:00
