"customer_id","total_spend"
4790,"868"
8318,"1738"
6977,"1921"
2574,"1230"
6906,"1024"
5084,"1064"
4756,"1168"
8091,"1106"
6945,"1375"
3725,"1688"
2125,"1102"
3762,"925"
10489,"1778"
9750,"1307"
5350,"2525"
6544,"976"
2276,"868"
2631,"1149"
3202,"1250"
6905,"1004"
10430,"1472"
4611,"1724"
6999,"834"
3834,"861"
4518,"1169"
6445,"858"
9977,"734"
10159,"1185"
7290,"968"
10870,"1341"
1118,"685"
1990,"1797"
4356,"1574"
8560,"680"
241,"1574"
175,"1443"
3732,"860"
2891,"928"
9206,"1121"
11051,"661"
9185,"1029"
1992,"893"
2683,"910"
10413,"1089"
2920,"990"
5140,"1445"
528,"1383"
3422,"1376"
3463,"904"
3138,"1676"
378,"794"
2579,"835"
3717,"704"
8475,"1608"
7959,"1370"
5848,"2009"
2150,"1482"
3523,"1073"
6912,"772"
5453,"2352"
1966,"1672"
2345,"1244"
4084,"873"
7366,"1438"
6086,"1380"
5628,"1665"
9463,"1443"
8402,"794"
10584,"945"
5782,"763"
1411,"940"
4702,"1895"
5121,"761"
4391,"908"
8624,"928"
4322,"1291"
8362,"1919"
3571,"1101"
3979,"1779"
10872,"1182"
1215,"1572"
2591,"932"
2736,"849"
2410,"1097"
2254,"1455"
6024,"2302"
2426,"895"
9381,"606"
7828,"818"
4654,"1253"
4743,"971"
8581,"751"
2807,"1001"
4785,"714"
7313,"1565"
6250,"775"
6749,"1722"
8427,"1540"
2894,"2013"
9940,"1009"
2535,"844"
6055,"1305"
2114,"1315"
4114,"1693"
6722,"767"
8314,"1772"
4947,"2059"
6613,"727"
9029,"1536"
5186,"731"
5031,"1833"
7396,"1597"
10314,"1318"
6575,"612"
1328,"683"
843,"805"
1911,"1364"
7022,"1410"
8659,"1038"
4405,"789"
5538,"1862"
6248,"2217"
8720,"1679"
7165,"823"
7428,"1367"
1173,"2252"
5278,"902"
5376,"1730"
7274,"2153"
10868,"1272"
4607,"777"
3136,"663"
6233,"971"
10424,"1295"
9500,"758"
6721,"1213"
4477,"653"
7010,"1363"
8029,"1621"
10133,"2349"
4483,"1228"
1927,"690"
4597,"2018"
9624,"963"
5562,"735"
5935,"764"
3427,"734"
6246,"1507"
10767,"1346"
1592,"1724"
3403,"2092"
448,"795"
9209,"1564"
701,"1179"
1092,"1147"
6652,"1134"
9984,"724"
10196,"614"
10163,"1323"
1052,"1001"
9308,"976"
3852,"964"
2963,"1440"
4998,"1033"
5863,"655"
2930,"1281"
535,"778"
3056,"1150"
8534,"992"
5046,"1638"
832,"747"
8727,"1150"
9264,"1638"
9120,"1065"
4286,"679"
3690,"2091"
5536,"1957"
8867,"2126"
6931,"1062"
5386,"2302"
5909,"1171"
5125,"1348"
9826,"2114"
5172,"1053"
3766,"835"
8537,"1429"
158,"1196"
9265,"1390"
3298,"1152"
10383,"1093"
123,"993"
2939,"1631"
5596,"728"
6406,"1427"
8432,"684"
544,"976"
1631,"1282"
3967,"943"
2134,"694"
5721,"1566"
2669,"1127"
2712,"715"
966,"691"
5872,"639"
2021,"1388"
477,"2157"
4299,"1825"
8895,"968"
9349,"1131"
10673,"1416"
3010,"2069"
2075,"1047"
849,"660"
9958,"769"
9298,"1798"
8755,"1196"
7381,"1442"
4138,"899"
3170,"1042"
961,"860"
6184,"1670"
2532,"1651"
269,"1143"
6318,"1366"
5547,"1919"
5207,"793"
3507,"1575"
7397,"688"
3619,"1152"
10888,"636"
7734,"1216"
9589,"1234"
3426,"1596"
1232,"1244"
7451,"2008"
2831,"1179"
4915,"732"
4058,"811"
10727,"1586"
1628,"960"
1650,"1643"
5718,"1415"
4786,"1109"
6349,"1319"
10925,"1003"
4369,"1169"
11112,"1477"
10172,"1538"
9153,"1048"
9305,"1315"
6658,"1194"
7053,"1453"
10736,"1525"
6988,"1443"
3009,"1766"
217,"1540"
1212,"936"
4500,"1598"
3678,"656"
5796,"1125"
5156,"889"
6036,"1924"
6661,"1174"
3520,"1092"
7476,"1269"
3870,"1006"
7488,"825"
3595,"1138"
9710,"792"
3483,"1526"
4137,"1076"
4508,"833"
762,"823"
6409,"1179"
375,"1156"
4070,"1078"
2611,"1910"
5396,"1366"
1079,"1086"
821,"2077"
1826,"1190"
9855,"1020"
9493,"1808"
3584,"1396"
9687,"726"
3698,"2130"
1490,"854"
5077,"969"
9707,"1182"
10968,"704"
9904,"1043"
9504,"1008"
4002,"1123"
2928,"990"
4530,"1930"
5544,"1490"
7822,"662"
2797,"1073"
1357,"1562"
4843,"833"
5545,"988"
4475,"2440"
1020,"1366"
1127,"1958"
10446,"729"
8732,"1461"
4261,"1315"
2886,"1217"
1859,"1890"
9010,"2346"
10164,"1691"
10102,"1478"
8395,"1511"
10742,"746"
8925,"1012"
5564,"1338"
5147,"1424"
2186,"2257"
3267,"608"
5667,"1701"
3091,"823"
10142,"689"
5120,"1289"
9723,"1016"
9426,"900"
4994,"1735"
819,"1103"
2607,"630"
6202,"1005"
1891,"1754"
7055,"1021"
2561,"1371"
6181,"939"
10678,"917"
454,"1135"
9121,"1690"
9145,"1478"
500,"1941"
1204,"1829"
6072,"2087"
7101,"1198"
2495,"816"
10245,"756"
2937,"871"
1031,"1062"
1184,"845"
5302,"1428"
9729,"615"
5989,"1576"
9606,"1536"
6974,"1497"
5114,"965"
4580,"2486"
2379,"1635"
5136,"798"
2008,"1149"
10505,"1001"
6565,"1782"
1945,"1400"
2223,"1826"
6303,"1497"
6715,"685"
8800,"902"
9260,"1706"
8746,"1188"
2493,"608"
4310,"1428"
591,"677"
3799,"868"
6935,"978"
7521,"1574"
6142,"900"
1399,"1515"
10833,"973"
10955,"1600"
10177,"1338"
10286,"926"
7881,"1033"
9790,"1334"
203,"2089"
6963,"1157"
1172,"2034"
6815,"809"
1351,"1220"
6932,"2119"
5204,"1461"
2408,"733"
5236,"2194"
7706,"1048"
10524,"795"
4686,"1686"
1745,"1313"
6694,"1068"
5080,"1258"
9757,"1631"
830,"1658"
988,"1193"
2730,"1231"
1340,"1795"
590,"1812"
3074,"1828"
10882,"915"
7118,"1528"
9286,"747"
202,"1234"
3807,"766"
5841,"832"
